施設名,住所,施設ID,緯度,経度
陶芸体験 亀工房,〒325-0301  栃木県那須郡那須町湯本350-10,F0061,37.082252,140.013822
ナラ入沢渓流釣りキャンプ場,〒321-2802  栃木県日光市上三依109-1,F0062,37.0288712,139.7325676
大江戸温泉物語 ホテル鬼怒川御苑,〒321-2521  栃木県日光市藤原1-1,F0063,36.8302047,139.7194381
石の愉楽,〒325-0303  栃木県那須郡那須町高久乙593-27,F0064,37.0398853,140.0147619
ペンション ラズベリーファーム,〒325-0303  栃木県那須郡那須町高久乙802,F0065,37.0657794,139.9962993
南平台温泉ホテル,〒324-0618  栃木県那須郡那珂川町小口1342,F0066,36.7630513,140.1446265
スパリゾートリブマックス,〒321-4364  栃木県真岡市長田1-24-3,F0067,36.452139,139.9633682
グランデイソーラ,〒321-2525  栃木県日光市小佐越320-1,F0068,36.7997627,139.7007751
那須サファリパーク,〒325-0303  栃木県那須郡那須町高久乙3523番地,F0069,37.0591992,140.0062535
三依渓流つり場,〒321-2803  栃木県日光市中三依1293,F0070,37.000859,139.684176
那須バギーパーク,〒325-0301  栃木県那須郡那須町湯本588,F0071,37.0781206,140.0026175
One Play-it(ワンプレイト） 陶芸・キャンドル＆アウトドア体験,〒321-1421  栃木県日光市所野1550-73,F0072,36.7565258,139.6193056
日光・まなかの森,〒321-1264  栃木県日光市瀬尾2620,F0073,36.759525,139.667209
とりっくあーとぴあ日光,〒321-2525  栃木県日光市小佐越1-4,F0074,36.7890314,139.7017086
那須高原HERB´s,〒325-0303  栃木県那須郡那須町大字高久乙3589-3,F0075,37.0620126,140.0009732
那須テディベア・ミュージアム,〒325-0302  栃木県那須郡那須町高久丙1185-4,F0076,37.0492014,140.039582
クライミングジムFLASH,〒321-0967  栃木県宇都宮市錦3-5-6,F0077,36.5739604,139.8953702
ネイチャープラネット,〒321-2612  栃木県日光市川治温泉高原42,F0078,36.8939717,139.7076653
ホテルサンバレー那須・サンバレー美術館内陶芸体験コーナー,〒325-0392  栃木県那須郡那須町湯本203,F0079,37.0872678,140.0044529
仁王尊プラザ（釣堀）,〒321-2522  栃木県日光市鬼怒川温泉大原371番地の1,F0080,36.8113422,139.7087501
グラススタジオ ポンテ,〒321-1421  栃木県日光市所野1541-1499,F0081,36.7754322,139.6132958
伝統工芸 日光彫 五十嵐漆器,〒321-1406  栃木県日光市松原町17-7,F0082,36.7466411,139.618993
KPS那須高原パラグライダースクール,〒325-0118  栃木県那須塩原市鴫内740,F0083,36.9968388,139.9136344
サバゲフィールドヘッドアックス,〒321-0501  栃木県那須烏山市志鳥1261,F0084,36.7189793,140.0872235
湯滝,〒321-1662  栃木県日光市湯元,F0085,36.795418,139.428549
大谷資料館,〒321-0345  栃木県宇都宮市大谷町909,F0086,36.5999889,139.8247452
華厳滝,〒321-1661  栃木県日光市中宮祠,F0087,36.7380893,139.501941
那須高原,〒325-0301  栃木県那須郡那須町大字湯本,F0088,37.0968788,140.0005122
中禅寺湖,〒321-1661  栃木県日光市中宮祠,F0089,36.7329036,139.4821986
龍王峡,〒321-2521  栃木県日光市藤原,F0090,36.8640507,139.7129931
竜頭ノ滝,〒321-1661  栃木県日光市中宮祠,F0091,36.7576468,139.4514272
戦場ヶ原,〒321-1661  栃木県日光市中宮祠,F0092,36.7772479,139.4442998
鬼怒楯岩大吊橋,〒321-2522  栃木県日光市鬼怒川温泉大原1436,F0093,36.8206606,139.7083896
男体山,〒321-1661  栃木県日光市中宮祠,F0094,36.7654844,139.4907465
湯ノ湖,〒321-1662  栃木県日光市湯元,F0095,36.8001215,139.4243626
竜化の滝,〒329-2921  栃木県那須塩原市塩原字東山国有林,F0096,36.9685046,139.8494017
那須岳（茶臼岳）,〒329-3211  栃木県那須郡那須町大字湯本,F0097,37.1249649,139.9645965
太平山,〒328-0001  栃木県栃木市薗部町４丁目25,F0098,36.3650863,139.6902534
霧降高原,〒321-1421  栃木県日光市所野,F0099,36.8068017,139.5908883
乙女の滝,〒325-0111  栃木県那須塩原市板室703,F0100,37.0668997,139.9376467
大谷石,〒321-0345  栃木県宇都宮市大谷町地内,F0101,36.5999889,139.8247452
霧降滝,〒321-1421  栃木県日光市所野,F0102,36.7801222,139.6237584
塩原渓谷歩道,〒329-2921  栃木県那須郡塩原町下塩原,F0103,36.970537,139.8199326
那須高原展望台 恋人の聖地,〒325-0301  栃木県那須町湯本,F0104,37.1049897,139.9955416
大沼,〒329-2921  栃木県那須塩原市塩原字前黒,F0105,41.9987492,140.6903742
日光杉並木,〒321-1263  栃木県日光市瀬川地内 杉並木公園他,F0106,36.7286552,139.6758614
虹見の滝,〒321-2521  栃木県日光市藤原,F0107,36.8602105,139.7174892
鎌倉山,〒321-3542  栃木県芳賀郡茂木町大字九石,F0108,,
高峰山,〒321-3628  栃木県芳賀郡茂木町大字深沢,F0109,36.4012112,138.4572151
龍門の滝,〒321-0633  栃木県那須烏山市滝,F0110,36.6455986,140.1398144
龍王峡 自然研究路,〒321-2521  栃木県日光市藤原,F0111,36.8595801,139.7173626
榛名神社,〒370-3341  群馬県高崎市榛名山町849,F0112,36.4586272,138.8522043
吹割の滝,〒378-0303  群馬県沼田市利根町大字追貝,F0113,36.7022355,139.2073279
西の河原露天風呂,〒377-1711  群馬県吾妻郡草津町大字草津521-3,F0114,36.6243123,138.5883882
西の河原公園,〒377-1711  群馬県吾妻郡草津町草津,F0115,36.6241602,138.5896634
伊香保おもちゃと人形・自動車博物館,〒370-3606  群馬県北群馬郡吉岡町上野田2145,F0116,36.4637501,138.9691358
大滝乃湯,〒377-1711  群馬県吾妻郡草津町大字草津596-13,F0117,36.6229109,138.6015251
群馬サファリパーク,〒370-2321  群馬県富岡市岡本1,F0118,36.225678,138.8852041
軽井沢おもちゃ王国,〒377-1512  群馬県吾妻郡嬬恋村大前細原2277,F0119,36.4729037,138.5436476
伊香保温泉の石段街,〒377-0102  群馬県渋川市伊香保町伊香保,F0120,36.4981947,138.9165884
桐生が岡動物園,〒376-0056  群馬県桐生市宮本町3-8-13,F0121,36.4211084,139.3403121
ぐんまこどもの国,〒373-0054  群馬県太田市長手町480,F0122,36.3188275,139.3689595
こんにゃくパーク,〒370-2202  群馬県甘楽郡甘楽町大字小幡204-1,F0123,36.2435853,138.9199526
前橋るなぱあく（前橋市中央児童遊園）,〒371-0026  群馬県前橋市大手町3-16-3,F0124,36.3952957,139.0630891
草津白根山,〒377-1711  群馬県吾妻郡草津町草津,F0125,36.62,138.535
尾瀬ケ原,〒378-0411  群馬県利根郡片品村大字戸倉,F0126,36.9341463,139.2303142
碓氷第三橋梁（めがね橋）,〒379-0307  群馬県安中市松井田町坂本,F0127,36.3580585,138.6982782
富岡製糸場,〒370-2316  群馬県富岡市富岡1-1,F0128,36.2551925,138.8875796
四万川ダム,〒377-0601  群馬県吾妻郡中之条町大字四万字木ノ根宿4400-28,F0129,36.6966317,138.781566
水澤観音,〒377-0103  群馬県北群馬郡伊香保町水沢214,F0130,36.4793862,138.9452307
果実の里 原田農園,〒378-0002  群馬県沼田市横塚町1294,F0131,36.6603039,139.0776026
マックスアウトドアツアーズ水上,〒379-1727  群馬県利根郡みなかみ町大穴54-2,F0132,36.7922889,138.9840563
たくみの里 四季の家,〒379-1418  群馬県利根郡みなかみ町須川181,F0133,36.6968378,138.8978303
月夜野まるかチェリー園,〒379-1314  群馬県利根郡みなかみ町下津1562,F0134,36.675553,138.991356
地球屋,〒370-3505  群馬県北群馬郡榛東村上野原1-1,F0135,35.6962387,139.4470201
ふれあいの家,〒379-1418  群馬県利根郡みなかみ町須川252-6,F0136,35.6640137,139.5645291
希望の丘農園,〒370-0868  群馬県高崎市鼻高町1523番地1,F0137,36.318833,138.949493
かぬ～っこ みなかみカヌー.com,〒379-1727  群馬県利根郡みなかみ町大穴55-3,F0138,36.8752891,139.0753282
陶芸 榛名の麓,〒370-3606  群馬県北群馬郡吉岡町上野田1916-1,F0139,36.4668248,138.9718631
陣平農園,〒377-0425  群馬県吾妻郡中之条町西中之条1624-2,F0140,36.6008054,138.8363772
たくみの里いちごの家,〒379-1417  群馬県利根郡みなかみ町東峰396,F0141,36.6943993,138.9089278
生ゆば処 町田屋,〒378-0126  群馬県沼田市白沢町上古語父176-1,F0142,36.664296,139.117968
フォレスト＆ウォーター みなかみベース,〒379-1728  群馬県利根郡みなかみ町湯檜曽191-12,F0143,36.8121802,138.9862675
たくみの里農産物加工の家,〒379-1418  群馬県利根郡みなかみ町須川834,F0144,36.6958233,138.907624
ロックハート城,〒377-0702  群馬県吾妻郡高山村中山5583-1,F0145,36.6310702,138.9883583
水上アウトドアセンター,〒379-1721  群馬県利根郡みなかみ町藤原3822-13,F0146,36.8367054,139.0814473
