施設名,住所,施設ID,緯度,経度
伊豆シャボテン動物公園,〒413-0231  静岡県伊東市富戸1317-13,F0271,34.9071258,139.1008839
大室山,〒413-0231  静岡県伊東市富戸1317-5,F0272,34.9041764,139.0962908
伊豆の陶芸体験 ほけきょ庵,〒413-0234  静岡県伊東市池675-62,F0273,34.9047687,139.0884272
伊豆クラフトハウス,〒413-0235  静岡県伊東市大室高原8‐531,F0274,34.9028517,139.1111579
大源太キャニオン,新潟県南魚沼郡湯沢町大字土樽3064-17,F0275,36.9180242,138.8897666
電力ミュージアムOKKY（奥清津発電所）,〒949-6100  新潟県南魚沼郡湯沢町大字三国502,F0276,36.8472388,138.7664404
フォレストアドベンチャー・湯沢中里,〒949-6103  新潟県南魚沼郡湯沢町土樽5044－1,F0277,36.9163307,138.8499444
雪国アグリパーク 湯沢いちご村,〒949-6102  新潟県南魚沼郡湯沢町大字神立750-1,F0278,36.937558,138.823106
体験工房 大源太,新潟県南魚沼郡湯沢町大字土樽6399-1,F0279,36.9188461,138.8761901
湯沢いちご村,〒949-6102  新潟県南魚沼郡湯沢町大字神立750-1,F0280,36.937558,138.823106
湯沢フィッシングパーク,新潟県南魚沼郡湯沢町大字土樽6191-512,F0281,36.9147387,138.8379497
道の駅 みつまた,〒949-6211  新潟県南魚沼郡湯沢町大字三俣1000番地,F0282,36.899669,138.777131
湯沢高原ロープウェイ,〒949-6101  新潟県南魚沼郡湯沢町大字湯沢490,F0283,36.9387983,138.7973791
ドラゴンドラ,〒949-6212  新潟県南魚沼郡湯沢町三国,F0284,36.8231608,138.7640146
千手温泉 千年の湯,〒948-0144  新潟県十日町市水口沢121-7,F0285,37.1625736,138.7369162
道の駅 南魚沼「雪あかり」,〒919-6363  新潟県南魚沼市下一日市855,F0286,37.0037095,138.8184741
清津峡,〒949-8433  新潟県十日町市小出,F0287,36.9675951,138.7509218
八色の森公園,〒949-7302  新潟県南魚沼市浦佐5483番地1,F0288,37.1646372,138.9361987
上越国際プレイランド,〒949-6431  新潟県南魚沼市樺野沢112-1,F0289,37.0321127,138.8176428
星峠の棚田,〒942-1351  新潟県十日町市峠,F0290,37.1242424,138.5295277
越後のお酒ミュージアム ぽんしゅ館,〒949-6101  新潟県南魚沼郡湯沢町湯沢2427-3,F0291,36.9364253,138.8088259
大洗海浜公園,〒311-1305  茨城県東茨城郡大洗町港中央,F0292,36.3044132,140.5664618
フォレストパーク メロンの森,〒311-1504  茨城県鉾田市安房1623-1,F0293,36.1700348,140.5351146
大洗わくわく科学館,〒311-1305  茨城県東茨城郡大洗町港中央12,F0294,36.3074837,140.567215
大洗サンビーチ,〒311-1311  茨城県東茨城郡大洗町大貫町地先,F0295,36.30343182,140.5678519
大洗海岸,〒311-1301  茨城県東茨城郡大洗町磯浜町地先,F0296,36.3124719,140.5866598
大洗シーサイドステーション,〒311-1305  茨城県東茨城郡大洗町港中央11-2,F0297,36.308449,140.5680953
大洗マリンタワー,〒311-1305  茨城県東茨城郡大洗町港中央10,F0298,36.3104997,140.5706698
酒列磯前神社および酒列磯前神社の樹叢,〒311-1202  茨城県ひたちなか市磯崎町4607-2,F0299,36.3824724,140.6212523
国営ひたち海浜公園,〒312-0012  茨城県ひたちなか市馬渡大沼605-4,F0300,36.405864,140.5964868
アクアワールド茨城県大洗水族館,〒311-1301  茨城県東茨城郡大洗町磯浜町8252-3,F0301,36.3335762,140.5940178
深作農園,〒311-2102  茨城県鉾田市台濁沢361,F0302,36.1298187,140.5819099
かねふくめんたいパーク大洗,〒311-1301  茨城県東茨城郡大洗町磯浜町8255-3,F0303,36.3114591,140.5782038
大洗磯前神社,〒311-1301  茨城県東茨城郡大洗町磯浜町6890,F0304,36.3158351,140.5874772
那須ワールドモンキーパーク,〒325-0001  栃木県那須郡那須町高久甲6146,F0305,37.0351956,140.0484997
牧之通りのラーメン屋さん,〒949-6408 新潟県南魚沼市塩沢1210-1,F0306,37.0400383,138.8513806
白糸の滝,〒389-0111  長野県北佐久郡軽井沢町長倉,F0307,36.41041754,138.5933445
軽井沢・プリンスショッピングプラザ,〒389-0102  長野県北佐久郡軽井沢町軽井沢,F0308,36.3422622,138.6369413
伊香保ロープウェイ,〒377-0102  群馬県渋川市伊香保町伊香保560-1,F0309,36.4971202,138.9193777
草津湯畑,〒377-1711 群馬県吾妻郡草津町草津401,F0310,36.6229647,138.5967231
軽井沢 川上庵,〒389-0104  長野県北佐久郡軽井沢町軽井沢6-10,F0311,36.3562621,138.633816
草津温泉（宿泊）,〒377-1711 群馬県吾妻郡草津町草津401,F0312,36.618468,138.59632
宿で就寝,〒377-1528 群馬県吾妻郡嬬恋村万座温泉,F0313,36.6357339,138.5088174
草津湯畑（昼）,〒377-1711 群馬県吾妻郡草津町草津401,F0314,36.62269790000001,138.5969329
草津湯畑（夜）,〒377-1711 群馬県吾妻郡草津町草津401,F0315,36.6229647,138.5967231
宿にチェックイン,〒377-1711 群馬県吾妻郡草津町草津401,F0316,35.5579472,139.3568235
宿で就寝,〒377-1711 群馬県吾妻郡草津町草津401,F0317,36.62173659,138.5933328
宿で就寝,〒377-1711 群馬県吾妻郡草津町草津４６５−４ 草津温泉ホテル 櫻井,F0318,36.62173659,138.5933328
軽井沢 沢屋,〒389-0111  長野県北佐久郡軽井沢町大字長倉字塩沢702番地,F0319,36.3327405,138.6056505
鬼押出し園,〒377-1593  群馬県吾妻郡嬬恋村鎌原1053,F0320,36.4448257,138.5370699
