駅名,緯度,経度
北綾瀬,35.77725,139.83211
湯島,35.70779,139.77002
根津,35.7179,139.76517
綾瀬,35.76241,139.82614
二重橋前,35.68145,139.7621
乃木坂,35.6673,139.72701
代々木公園,35.66926,139.68868
明治神宮前,35.66949,139.70307
錦糸町,35.69861,139.81487
神保町,35.69594942,139.7568541
水天宮前,35.68231,139.78576
半蔵門,35.68445,139.74158
清澄白河,35.6822,139.80141
蔵前,35.70268,139.7903
本所吾妻橋,35.70854,139.80368
浅草橋,35.69687,139.78598
高輪台,35.63122,139.72975
戸越,35.61374,139.71611
東日本橋,35.69304,139.78497
西馬込,35.58668,139.70585
馬込,35.59575,139.71171
水道橋,35.70269,139.75541
千石,35.72845,139.74409
巣鴨,35.73426,139.73742
新板橋,35.74893,139.71848
西高島平,35.79169,139.64682
板橋区役所前,35.75179,139.70946
新高島平,35.79004,139.65529
本蓮沼,35.76837,139.70253
西巣鴨,35.74404,139.72814
高島平,35.78875,139.66224
志村坂上,35.77578,139.6953
板橋本町,35.76072,139.70575
西台,35.78699,139.67367
蓮根,35.78342,139.67898
志村三丁目,35.77767,139.68673
内幸町,35.66983,139.75567
白金台,35.63814,139.72671
御成門,35.66169,139.75183
芝公園,35.65416,139.74983
本八幡,35.72407,139.92749
篠崎,35.70681,139.90459
西大島,35.68933,139.82728
曙橋,35.6923,139.72357
東大島,35.68926,139.84892
岩本町,35.69553,139.77626
船堀,35.68382,139.86487
小川町,35.69561,139.76788
瑞江,35.6941,139.89831
馬喰横山,35.69134,139.78369
浜町,35.68839,139.78898
一之江,35.68608,139.8839
両国,35.69751,139.79737
上野御徒町,35.70804,139.77226
東新宿,35.69779,139.70852
牛込柳町,35.6994,139.72599
新江古田,35.73221,139.67133
落合南長崎,35.72282,139.68387
牛込神楽坂,35.70121,139.73677
光が丘,35.75848,139.62997
東中野,35.70672,139.68296
練馬春日町,35.75108,139.64161
若松河田,35.6994,139.71894
築地市場,35.66462,139.76718
勝どき,35.65938,139.77778
赤羽橋,35.65505,139.74342
西新宿五丁目,35.6902,139.68535
都庁前,35.69073,139.69345
新宿西口,35.69382,139.69901
国立競技場,35.67963,139.71583
代々木,35.683,139.70174
荒川車庫前,35.75087,139.75256
王子駅前,35.75256,139.73846
梶原,35.75107,139.74758
荒川遊園地前,35.75064,139.75775
荒川七丁目,35.74205,139.78392
熊野前,35.74914,139.76955
三ノ輪橋,35.73209,139.79174
荒川二丁目,35.73837,139.78469
町屋二丁目,35.74375,139.77665
宮ノ前,35.74991,139.76564
荒川区役所前,35.73519,139.78617
小台,35.75048,139.762
東尾久三丁目,35.74549,139.77405
町屋駅前,35.7428,139.78067
荒川一中前,35.73376,139.78868
庚申塚,35.73892,139.72947
滝野川一丁目,35.74742,139.7355
面影橋,35.71281,139.71492
西ヶ原四丁目,35.74404,139.73254
学習院下,35.71554,139.71221
新庚申塚,35.74092,139.73024
東池袋四丁目,35.7254,139.7205
飛鳥山,35.74989,139.73721
大塚駅前,35.73145,139.7294
巣鴨新田,35.73496,139.72804
都電雑司ヶ谷,35.72433,139.7181
鬼子母神前,35.7204,139.71502
東京テレポート,35.62728,139.77844
大崎,35.62041,139.72743
東雲,35.64117,139.80533
国際展示場,35.63406,139.79104
品川シーサイド,35.61068,139.74996
衣笠,35.2575,139.65974
久里浜,35.23215,139.70134
横須賀,35.28448,139.65382
田浦,35.29276,139.63816
東逗子,35.29869,139.60243
逗子,35.29759,139.57965
北鎌倉,35.33721,139.54536
東神奈川,35.47706,139.6324
小机,35.50824,139.60046
大口,35.4918,139.64643
成瀬,35.53584,139.47217
相模原,35.58097,139.37162
淵野辺,35.56897,139.39439
相原,35.60751,139.33162
八王子みなみ野,35.63201,139.33131
十日市場,35.52604,139.51723
矢部,35.5735,139.38577
鴨居,35.51099,139.56781
片倉,35.64007,139.34192
古淵,35.55608,139.41905
八王子,35.65519,139.33939
本千葉,35.60167,140.12093
蘇我,35.58113,140.13124
新茂原,35.44845,140.29945
八積,35.40337,140.34642
三門,35.28258,140.39156
本納,35.48115,140.30741
安房鴨川,35.10702,140.10311
鵜原,35.14152,140.27946
鎌取,35.56307,140.17825
上総一ノ宮,35.37331,140.36526
御宿,35.18675,140.35082
行川アイランド,35.11821,140.22531
茂原,35.426,140.30555
長者町,35.29558,140.38519
東浪見,35.3459,140.37715
安房小湊,35.12885,140.19102
太東,35.32066,140.38119
浪花,35.22206,140.37868
誉田,35.54727,140.21288
勝浦,35.15309,140.31283
土気,35.53043,140.27125
安房天津,35.12546,140.15384
上総興津,35.13749,140.25117
大網,35.52143,140.31239
木更津,35.38036,139.92599
東横田,35.38615,140.0364
小櫃,35.32791,140.05985
上総亀山,35.2334,140.08917
上総清川,35.39084,139.96609
久留里,35.29523,140.07574
平山,35.27402,140.06439
上総松丘,35.25788,140.06406
下郡,35.35463,140.0554
横田,35.38621,140.02067
東清川,35.39002,139.98631
馬来田,35.36649,140.05845
祇園,35.3917,139.94875
俵田,35.31438,140.06175
新習志野,35.66685,140.01392
市川塩浜,35.66742,139.92413
稲毛海岸,35.62943,140.07499
検見川浜,35.63649,140.06002
南船橋,35.68131,139.99643
海浜幕張,35.64785,140.04291
二俣新町,35.6915,139.9604
舞浜,35.63579,139.88473
越中島,35.66732,139.79331
新浦安,35.65021,139.91336
葛西臨海公園,35.64382,139.86243
潮見,35.6595,139.81653
武蔵引田,35.72962,139.27072
武蔵五日市,35.73271,139.22876
武蔵増戸,35.73089,139.25704
熊川,35.72813,139.33609
秋川,35.72795,139.28745
東秋留,35.72594,139.3124
籠原,36.17369,139.332
神保原,36.25421,139.14761
深谷,36.19097,139.28287
本庄,36.23558,139.18975
岡部,36.20496,139.23926
上尾,35.97419,139.58781
宮原,35.94168,139.60931
北上尾,35.98625,139.57652
桶川,35.99929,139.56328
鴻巣,36.05763,139.51077
北本,36.03377,139.53261
吹上,36.10217,139.45533
北鴻巣,36.0864,139.47607
行田,36.11275,139.43322
山手,35.42591,139.64685
石川町,35.43952,139.64263
洋光台,35.37897,139.59747
根岸,35.41615,139.63725
磯子,35.40149,139.61909
本郷台,35.36811,139.5512
港南台,35.37534,139.5771
田端,35.73826,139.76067
目白,35.72145,139.7066
新大久保,35.70175,139.70032
原宿,35.67042,139.70251
香取,35.89795,140.5337
十二橋,35.91648,140.5458
鹿島神宮,35.97048,140.62467
潮来,35.93647,140.5494
延方,35.95825,140.5883
本庄早稲田,36.21958,139.1779
日立,36.59171,140.66247
常陸多賀,36.55141,140.6317
小木津,36.63551,140.67565
石岡,36.19266,140.27898
南中郷,36.75221,140.72861
大甕,36.51185,140.6189
岩間,36.29638,140.27687
赤塚,36.38201,140.41699
磯原,36.79035,140.74548
羽鳥,36.24855,140.28651
十王,36.67053,140.68525
偕楽園,36.37295,140.45772
佐和,36.43133,140.54086
内原,36.37056,140.35383
大津港,36.84681,140.77809
勝田,36.3931,140.52402
高萩,36.71319,140.71683
東海,36.46617,140.5669
友部,36.35106,140.30745
南柏,35.84517,139.95519
龍ケ崎市,35.93123,140.13828
柏,35.86104,139.97011
藤代,35.92097,140.12004
北柏,35.87562,139.98868
新松戸,35.82442,139.92081
神立,36.11962,140.24762
北小金,35.83368,139.93183
天王台,35.87248,140.04213
ひたち野うしく,36.00617,140.1578
土浦,36.07994,140.20693
荒川沖,36.03168,140.1668
牛久,35.97366,140.14088
北松戸,35.7997,139.911
三河島,35.73354,139.77598
亀有,35.76697,139.8486
金町,35.76961,139.87152
下野宮,36.81572,140.37467
常陸青柳,36.38422,140.48442
下小川,36.66943,140.38718
下菅谷,36.4349,140.49422
玉川村,36.57871,140.37438
後台,36.42375,140.48996
常陸津田,36.40449,140.48294
瓜連,36.49785,140.45004
上小川,36.71889,140.37967
上菅谷,36.45531,140.49242
河合,36.50856,140.51734
常陸太田,36.53171,140.52741
中菅谷,36.4454,140.49271
山方宿,36.62513,140.40091
静,36.50576,140.43864
常陸大宮,36.54637,140.41311
谷河原,36.52006,140.52526
西金,36.69487,140.3871
野上原,36.60579,140.39061
常陸鴻巣,36.47196,140.46784
南酒出,36.47733,140.49855
中舟生,36.64586,140.39239
袋田,36.75406,140.37968
常陸大子,36.77015,140.35123
新治,36.32829,140.0399
小田林,36.30085,139.8532
稲田,36.36933,140.21586
結城,36.29793,139.87416
福原,36.35184,140.18817
羽黒,36.35518,140.14395
宍戸,36.34445,140.28929
玉戸,36.29867,139.93934
岩瀬,36.35927,140.10987
東結城,36.29662,139.89194
川島,36.29591,139.91744
笠間,36.37285,140.2472
松岸,35.73905,140.79597
佐倉,35.70959,140.22555
小見川,35.84969,140.60544
下総神崎,35.89458,140.40971
滑河,35.87646,140.34728
酒々井,35.73119,140.27495
下総松崎,35.80717,140.27849
久住,35.83249,140.33967
安食,35.83526,140.24343
佐原,35.89573,140.49261
布佐,35.84839,140.13339
笹川,35.83993,140.65527
東我孫子,35.86907,140.04873
下総豊里,35.79245,140.72145
湖北,35.86703,140.07914
水郷,35.88491,140.57076
大戸,35.88944,140.45673
下総橘,35.81822,140.70236
成田,35.77553,140.31278
木下,35.83898,140.1493
椎柴,35.76481,140.75978
立川,35.69803,139.41516
鳩ノ巣,35.81528,139.12931
西立川,35.70324,139.3944
古里,35.81635,139.15172
小作,35.77577,139.30263
軍畑,35.80778,139.20798
白丸,35.81147,139.11458
奥多摩,35.80968,139.09674
沢井,35.80583,139.19389
川井,35.81374,139.16468
東青梅,35.78951,139.27344
青梅,35.7905,139.25884
河辺,35.78439,139.28494
御嶽,35.80145,139.18328
日向和田,35.78833,139.22975
牛浜,35.73502,139.33329
中神,35.70867,139.37679
福生,35.7435,139.32699
東中神,35.70612,139.3851
二俣尾,35.80369,139.21645
昭島,35.7136,139.36035
宮ノ平,35.78782,139.23776
石神前,35.79652,139.22537
羽村,35.75734,139.31672
赤羽,35.77687,139.7214
板橋,35.74418,139.71865
日進,35.93128,139.60532
指扇,35.91719,139.56559
南古谷,35.90327,139.52007
川越,35.90724,139.48268
笠幡,35.90739,139.40566
西川越,35.91921,139.45925
武蔵高萩,35.90158,139.37028
的場,35.91732,139.43479
高麗川,35.89586,139.33842
上溝,35.55737,139.36332
南橋本,35.57982,139.35238
原当麻,35.52925,139.37509
下溝,35.51876,139.38031
相武台下,35.49329,139.38622
香川,35.35621,139.39991
門沢橋,35.40643,139.38022
社家,35.42074,139.37716
倉見,35.39466,139.37823
茅ヶ崎,35.33035,139.40606
北茅ヶ崎,35.3392,139.40773
宮山,35.38189,139.3797
寒川,35.3674,139.38773
稲毛,35.63606,140.09345
西千葉,35.6219,140.10398
物井,35.68626,140.20076
成東,35.60855,140.41218
飯岡,35.72969,140.6846
横芝,35.66233,140.49187
新検見川,35.65167,140.07449
八日市場,35.69974,140.55323
榎戸,35.68471,140.28755
津田沼,35.69222,140.01922
日向,35.62797,140.36312
飯倉,35.68561,140.52241
幕張本郷,35.67199,140.04316
猿田,35.74748,140.73832
東千葉,35.6177,140.1233
四街道,35.66323,140.16599
南酒々井,35.70454,140.26689
下総中山,35.71391,139.94395
幕張,35.65896,140.05849
八街,35.66272,140.31834
干潟,35.71813,140.60239
船橋,35.70158,139.98629
倉橋,35.73807,140.71458
東船橋,35.69996,140.00277
新小岩,35.71587,139.85625
亀戸,35.69729,139.82534
市川,35.72835,139.90948
小岩,35.73384,139.88259
馬喰町,35.69271,139.78158
新日本橋,35.68873,139.7733
西荻窪,35.70373,139.59833
阿佐ヶ谷,35.70491,139.63722
高円寺,35.70536,139.65078
信濃町,35.67987,139.72241
千駄ヶ谷,35.68101,139.71279
西国分寺,35.69978,139.4671
東小金井,35.70152,139.52247
武蔵小金井,35.70097,139.50481
藤野,35.61607,139.15063
西八王子,35.65681,139.31299
国立,35.69923,139.44773
豊田,35.65882,139.38049
相模湖,35.61761,139.18743
三鷹,35.70268,139.55959
鶴見,35.50822,139.67583
鶴見小野,35.49733,139.68097
浜川崎,35.50954,139.71309
安善,35.4997,139.70088
弁天橋,35.49592,139.69003
大川,35.49514,139.71157
新芝浦,35.4915,139.7004
昭和,35.5072,139.72381
浅野,35.49771,139.69598
国道,35.50057,139.67597
武蔵白石,35.50181,139.70619
海芝浦,35.48597,139.70029
大森,35.58823,139.7277
浜松町,35.65614,139.75728
西大井,35.60085,139.72124
川崎,35.532,139.69758
新川崎,35.55309,139.67088
新子安,35.48629,139.65298
保土ヶ谷,35.44598,139.59907
平塚,35.32798,139.35082
大磯,35.31237,139.31471
早川,35.24005,139.14558
辻堂,35.33674,139.44401
東戸塚,35.42876,139.55652
二宮,35.29917,139.258
根府川,35.20386,139.13947
鴨宮,35.27543,139.17833
湯河原,35.1469,139.10386
真鶴,35.15599,139.13102
求名,35.57938,140.39564
福俵,35.54662,140.34239
東金,35.55965,140.36272
古河,36.19556,139.70936
尾久,35.74732,139.75265
御徒町,35.70632,139.77457
鶯谷,35.72206,139.77741
上中里,35.74773,139.74475
浦和,35.85777,139.65763
栗橋,36.13721,139.69431
南浦和,35.84922,139.6676
北戸田,35.82621,139.66231
新白岡,36.03683,139.67168
北与野,35.89148,139.629
与野本町,35.88177,139.62568
さいたま新都心,35.89241,139.63472
蓮田,35.98241,139.65367
東鷲宮,36.09068,139.67961
与野,35.88361,139.63934
久喜,36.06452,139.6767
白岡,36.01633,139.6668
東大宮,35.94976,139.6407
西川口,35.8149,139.70497
北浦和,35.8715,139.64652
武蔵浦和,35.84614,139.64624
東十条,35.76284,139.72748
川口,35.80093,139.71793
戸田公園,35.80712,139.67912
南与野,35.86819,139.63074
浮間舟渡,35.79103,139.69251
北赤羽,35.78648,139.70667
蕨,35.82721,139.69116
土呂,35.93316,139.63285
中浦和,35.85455,139.63671
岩井,35.09214,139.85
巌根,35.41399,139.93322
太海,35.08233,140.096
千歳,34.99043,139.96595
上総湊,35.22095,139.87075
大貫,35.29076,139.85587
袖ヶ浦,35.43228,139.95826
佐貫町,35.25905,139.87648
江見,35.0626,140.06221
南三原,35.02162,139.98003
館山,34.995,139.86195
浜野,35.55114,140.1318
千倉,34.97671,139.95321
八幡宿,35.53545,140.11924
那古船形,35.03,139.85077
九重,34.9977,139.91023
青堀,35.33105,139.85967
竹岡,35.1981,139.83091
浜金谷,35.16766,139.82331
姉ヶ崎,35.47779,140.04024
和田浦,35.04211,140.01986
安房勝山,35.11322,139.83374
長浦,35.4508,139.99642
富浦,35.04716,139.8375
君津,35.33324,139.89699
津田山,35.60328,139.60136
宿河原,35.61515,139.58022
武蔵新城,35.58688,139.63035
久地,35.60967,139.59383
武蔵溝ノ口,35.59818,139.6122
尻手,35.53158,139.68401
平間,35.56098,139.67094
矢向,35.53996,139.68017
川崎新町,35.51859,139.69886
向河原,35.57271,139.66714
鹿島田,35.55183,139.67481
武蔵中原,35.58094,139.64144
矢川,35.68499,139.4322
稲田堤,35.63322,139.53675
矢野口,35.6414,139.52103
中野島,35.62989,139.5517
西国立,35.69331,139.42405
府中本町,35.66638,139.47698
稲城長沼,35.64394,139.50338
谷保,35.68111,139.44752
南多摩,35.64918,139.4891
丹荘,36.21599,139.10329
松久,36.17273,139.18251
児玉,36.19222,139.13626
折原,36.09589,139.19556
金子,35.81033,139.32885
小宮,35.68546,139.36883
箱根ヶ崎,35.77112,139.34672
毛呂,35.9402,139.30957
竹沢,36.07567,139.22938
北八王子,35.66959,139.36361
明覚,36.00327,139.28895
越生,35.96224,139.29942
用土,36.15354,139.20082
東福生,35.74537,139.33584
東松戸,35.76977,139.9441
船橋法典,35.72977,139.9671
市川大野,35.7548,139.95176
新八柱,35.79077,139.93867
吉川,35.87672,139.8425
南越谷,35.87604,139.79048
新三郷,35.85894,139.86894
北朝霞,35.81504,139.58656
東浦和,35.86422,139.70496
西浦和,35.84452,139.62831
北府中,35.68023,139.47201
新秋津,35.77809,139.49358
東所沢,35.79451,139.51368
新小平,35.73145,139.47071
新座,35.80368,139.55546
大袋,35.92382,139.77816
一ノ割,35.96413,139.76626
堀切,35.74308,139.81761
鐘ヶ淵,35.73337,139.82002
姫宮,36.00391,139.73891
せんげん台,35.93519,139.77482
西新井,35.7767,139.79096
谷塚,35.8141,139.80107
竹ノ塚,35.79363,139.79046
小菅,35.75814,139.8122
北越谷,35.90244,139.77972
春日部,35.97971,139.75367
曳舟,35.71726,139.81658
新越谷,35.87491,139.78996
草加,35.82762,139.80339
北春日部,35.99069,139.74405
蒲生,35.86751,139.79163
東向島,35.72388,139.81926
とうきょうスカイツリー,35.71027,139.80863
五反野,35.76534,139.81062
武里,35.94825,139.77095
越谷,35.8883,139.78587
獨協大学前,35.84398,139.80035
梅島,35.77143,139.79975
和戸,36.03927,139.70162
加須,36.12266,139.59621
東武動物公園,36.02424,139.72777
花崎,36.10964,139.63449
鷲宮,36.09585,139.65739
南羽生,36.14999,139.55643
西大家,35.93191,139.35702
坂戸,35.95708,139.3946
武州唐沢,35.95186,139.30963
東毛呂,35.94682,139.31575
川角,35.93751,139.347
武州長瀬,35.94187,139.32671
東あずま,35.70706,139.83177
小村井,35.7102,139.82795
亀戸水神,35.6996,139.83325
大師前,35.77904,139.78205
北池袋,35.74104,139.71676
成増,35.77702,139.63376
上板橋,35.7633,139.67692
下赤塚,35.7703,139.64537
中板橋,35.75587,139.69521
ときわ台,35.75865,139.68964
朝霞台,35.81479,139.58664
朝霞,35.79757,139.60006
下板橋,35.74551,139.71495
東武練馬,35.76855,139.66343
森林公園,36.04496,139.37636
川越市,35.91488,139.47642
柳瀬川,35.83102,139.56176
鶴瀬,35.84489,139.54057
若葉,35.94945,139.40803
東武竹沢,36.07594,139.23764
北坂戸,35.97264,139.39739
東松山,36.03392,139.40187
鶴ヶ島,35.93609,139.42502
高坂,36.00191,139.398
みずほ台,35.83754,139.5518
志木,35.82263,139.57459
武蔵嵐山,36.04403,139.32853
鉢形,36.11381,139.20929
玉淀,36.1167,139.20057
男衾,36.10728,139.23421
ふじみ野,35.85991,139.52382
上福岡,35.87321,139.51245
新河岸,35.89056,139.49768
つきのわ,36.04338,139.34516
新古河,36.19227,139.68746
柳生,36.20628,139.66045
幸手,36.07322,139.71482
南栗橋,36.11249,139.71357
杉戸高野台,36.05041,139.71481
馬込沢,35.74132,139.99218
増尾,35.82956,139.9766
鎌ヶ谷,35.76412,139.99738
逆井,35.82291,139.98412
六実,35.79421,139.99924
高柳,35.80864,139.99898
塚田,35.72168,139.98251
新船橋,35.71098,139.97973
新柏,35.83758,139.96763
豊四季,35.86629,139.93988
七光台,35.97034,139.85326
梅郷,35.93113,139.89154
運河,35.91379,139.90615
川間,35.97921,139.83548
南桜井,35.98068,139.80921
藤の牛島,35.98037,139.77856
清水公園,35.95823,139.86065
八木崎,35.97887,139.74273
初石,35.88329,139.91824
野田市,35.94319,139.87152
江戸川台,35.8968,139.91077
七里,35.93688,139.66657
北大宮,35.91739,139.6245
岩槻,35.95066,139.69366
東岩槻,35.96351,139.71291
豊春,35.96827,139.72671
大宮公園,35.92404,139.63376
飯山満,35.71445,140.02334
東海神,35.70647,139.98169
東葉勝田台,35.71561,140.1262
船橋日大前,35.72701,140.05931
八千代中央,35.72764,140.10442
八千代緑が丘,35.72902,140.07426
公園上,35.24925,139.04365
強羅,35.25087,139.04826
公園下,35.25019,139.04639
中強羅,35.24821,139.04067
早雲山,35.24661,139.03622
上強羅,35.24727,139.0381
宮ノ下,35.24223,139.06274
箱根湯本,35.23374,139.10429
大平台,35.23889,139.07421
彫刻の森,35.24679,139.05039
塔ノ沢,35.2344,139.0943
入生田,35.24097,139.1214
小涌谷,35.24049,139.05281
箱根板橋,35.24525,139.14479
風祭,35.24617,139.12876
東京ディズニーシー･ステーション,35.62755,139.88909
リゾートゲートウェイ･ステーション,35.63531,139.88433
東京ディズニーランド･ステーション,35.6357,139.87802
ベイサイド･ステーション,35.62799,139.87584
白井,35.78472,140.05288
秋山,35.76554,139.93222
小室,35.78694,140.07517
印旛日本医大,35.787721,140.203038
印西牧の原,35.80348,140.16778
千葉ニュータウン中央,35.79994,140.11538
松飛台,35.77538,139.95844
西白井,35.78442,140.0309
北国分,35.76302,139.91513
新柴又,35.75173,139.88053
矢切,35.75775,139.90138
北参道,35.67947,139.70473
西早稲田,35.70892,139.70933
雑司が谷,35.72139,139.71558
日吉本町,35.549617,139.632789
東山田,35.55425,139.60565
川和町,35.52817,139.54869
見沼代親水公園,35.81442,139.77068
舎人,35.8055,139.77014
舎人公園,35.79621,139.77012
西新井大師西,35.78083,139.77014
足立小台,35.75438,139.77017
谷在家,35.78843,139.7701
扇大橋,35.76375,139.77086
赤土小学校前,35.74275,139.7691
西大宮,35.9218,139.57845
西府,35.67078,139.45762
城見ヶ丘,35.29169,140.25204
越谷レイクタウン,35.87607,139.82125
都筑ふれあいの丘,35.536346,139.560705
工機前,36.388382,140.524398
金上,36.38282,140.533256
中根,36.367634,140.561771
那珂湊,36.346043,140.587119
殿山,36.349275,140.600669
平磯,36.357247,140.607417
磯崎,36.377452,140.617926
阿字ヶ浦,36.383119,140.612262
成田湯川,35.799577,140.292302
羽田空港第3ターミナル,35.545124,139.76606
ゆめみ野,35.920707,140.03557
吉川美南,35.868607,139.857455
高田の鉄橋,36.35273659,140.5799429
小田栄,35.51486348,139.7044178
ソシオ流通センター,36.13650274,139.4241308
ふかや花園,36.13056223,139.2480243
虎ノ門ヒルズ,35.66785,139.748
羽沢横浜国大,35.48055395,139.5852239
高輪ゲートウェイ,35.63442991,139.740237
みなみ寄居,36.09097625,139.2364369
美乃浜学園,36.37176809,140.6168436
新綱島,35.53528644,139.6357987
幕張豊砂,35.65877323,140.0261703
